powiat,miejscowosc,ulica,numer,ilosc_koszy,ilosc_posesji
Wodzisławski,Wodzisław Śl.,1 maja,16i,0,0
Wodzisławski,Godów,1 maja,117,382,191
Wodzisławski,Godów,Dworcowa,4,12,6
Wodzisławski,Godów,Gliniki,19,56,28
Wodzisławski,Godów,Graniczna,6,24,12
Wodzisławski,Godów,Kopernika,17,56,28
Wodzisławski,Godów,Leśna,6,33,11
Wodzisławski,Godów,Nowa,23,74,37
Wodzisławski,Godów,Olszyńska,8,38,19
Wodzisławski,Godów,Piaskowa,18,48,24
Wodzisławski,Godów,Polna,13,58,29
Wodzisławski,Godów,Powstańców Śląskich,23,62,31
Wodzisławski,Godów,Raszczykowiec,14,50,25
Wodzisławski,Godów,Stawowa,1,10,5
Wodzisławski,Godów,Strażacka,2,10,5
Wodzisławski,Godów,Szkolna,19,54,27
Wodzisławski,Godów,Słoneczna,15,42,21
Wodzisławski,Godów,Zawadzka,6,16,8
Wodzisławski,Gołkowice,1 maja,159,618,309
Wodzisławski,Gołkowice,Boczna,16,58,29
Wodzisławski,Gołkowice,Borowicka,54,234,117
Wodzisławski,Gołkowice,Celna,24,106,53
Wodzisławski,Gołkowice,Cmentarna,31,84,42
Wodzisławski,Gołkowice,Dębina,12,48,24
Wodzisławski,Gołkowice,Dworcowa,23,56,28
Wodzisławski,Gołkowice,Graniczna,29,98,49
Wodzisławski,Gołkowice,Jana III Sobieskiego,29,106,53
Wodzisławski,Gołkowice,Leśna,27,82,41
Wodzisławski,Gołkowice,Na Górze,7,14,7
Wodzisławski,Gołkowice,Piotrowicka,13,48,24
Wodzisławski,Gołkowice,Podlaska,23,60,30
Wodzisławski,Gołkowice,Poprzeczna,11,42,21
Wodzisławski,Gołkowice,Powstańców Śl.,11,46,23
Wodzisławski,Gołkowice,Rzeczna,9,30,15
Wodzisławski,Gołkowice,Stanisława Staszica,8,28,14
Wodzisławski,Gołkowice,Strażacka,23,62,31
Wodzisławski,Gołkowice,Wyzwolenia,38,142,71
Wodzisławski,Gołkowice,Żabkowska,15,74,37
Wodzisławski,Gołkowice,Zielona,14,34,17
Wodzisławski,Gołkowice,Zimne Doły,9,44,22
Wodzisławski,Krostoszowice,Brzozowa,12,38,19
Wodzisławski,Krostoszowice,Gustawa Morcinka,18,50,25
Wodzisławski,Krostoszowice,Leśna,7,36,18
Wodzisławski,Krostoszowice,Olszyńska,25,96,48
Wodzisławski,Krostoszowice,Środkowa,31,70,35
Wodzisławski,Krostoszowice,Szybowa,18,50,25
Wodzisławski,Krostoszowice,Turska,21,74,37
Wodzisławski,Krostoszowice,Wąwozowa,18,40,20
Wodzisławski,Krostoszowice,Wodzisławska,18,72,36
Wodzisławski,Podbucze,Bukowa,5,16,8
Wodzisławski,Podbucze,Wiejska,38,90,45
Wodzisławski,Skrbeńsko,Na Górze,16,64,32
Wodzisławski,Skrbeńsko,Piotrowicka,60,208,104
Wodzisławski,Skrbeńsko,Poprzeczna,12,44,22
Wodzisławski,Skrbeńsko,Szkolna,10,36,18
Wodzisławski,Skrbeńsko,Zielona,31,128,64
Wodzisławski,Skrzyszów,1 maja,120,386,193
Wodzisławski,Skrzyszów,Dębowa,27,90,45
Wodzisławski,Skrzyszów,Jana III Sobieskiego,12,48,24
Wodzisławski,Skrzyszów,Jana Pawła II,11,2,1
Wodzisławski,Skrzyszów,Krótka,17,54,27
Wodzisławski,Skrzyszów,Ks. R. Wallacha,84,244,122
Wodzisławski,Skrzyszów,Leśna,26,102,51
Wodzisławski,Skrzyszów,Lipowa,29,64,32
Wodzisławski,Skrzyszów,Mszańska,13,60,30
Wodzisławski,Skrzyszów,Olszyńska,12,38,19
Wodzisławski,Skrzyszów,Partyzantów,16,80,40
Wodzisławski,Skrzyszów,Polna,21,60,30
Wodzisławski,Skrzyszów,Powstańców Śląskich,124,360,180
Wodzisławski,Skrzyszów,Przedszkolna,14,30,15
Wodzisławski,Skrzyszów,Wspólna,32,92,46
Wodzisławski,Skrzyszów,Wyzwolenia,55,148,74
Wodzisławski,Skrzyszów,Zielona,29,118,59
Wodzisławski,Łaziska,1 maja,4,14,7
Wodzisławski,Łaziska,Dworcowa,26,82,41
Wodzisławski,Łaziska,Górna,5,8,4
Wodzisławski,Łaziska,Kopernika,7,24,12
Wodzisławski,Łaziska,Krótka,7,18,9
Wodzisławski,Łaziska,Leśna,2,10,5
Wodzisławski,Łaziska,Mickiewicza,10,28,14
Wodzisławski,Łaziska,Młyńska,4,6,3
Wodzisławski,Łaziska,Okrężna,18,50,25
Wodzisławski,Łaziska,Powstańców Śląskich,120,414,207
Wodzisławski,Łaziska,Skotnicka,38,140,70
Wodzisławski,Łaziska,Stawowa,6,26,13
Wodzisławski,Łaziska,Słoneczna,19,6,2
Wodzisławski,Łaziska,Słowackiego,6,18,9
Wodzisławski,Łaziska,Wierzniowicka,30,90,45
