powiat,miejscowosc,ulica,numer,ilosc_koszy,ilosc_posesji,latitude,longitude
Wodzisławski,Wodzisław Śl.,1 maja,16,0,0,49.96601,18.5437
Wodzisławski,Belsznica,Czyżowicka,10A,70,35,49.9797966,18.3732832839637
Wodzisławski,Belsznica,Krótka,2,18,6,49.97318,18.3687533801313
Wodzisławski,Belsznica,Leśna,4,14,7,49.98120225,18.3587689166768
Wodzisławski,Belsznica,Polna,20,88,44,49.975993,18.3796275592629
Wodzisławski,Belsznica,Poprzeczna,6,22,11,49.99626195,18.361014764557
Wodzisławski,Belsznica,Raciborska,39,170,85,49.97841765,18.3616505284642
Wodzisławski,Belsznica,Skotnica,3,14,7,49.9827655,18.3569983555555
Wodzisławski,Belsznica,Stawowa,13,70,35,49.9741134,18.3496078207972
Wodzisławski,Belsznica,Wałowa,15,92,46,49.97022025,18.3544251
Wodzisławski,Belsznica,Wiejska,4,27,9,49.98079555,18.3564923768048
Wodzisławski,Bluszczów,Dąbrowy,5,15,3,50.0038223,18.3488692
Wodzisławski,Bluszczów,Dworcowa,7,54,27,49.9925389,18.3288000178973
Wodzisławski,Bluszczów,Jana,13,44,22,49.9903928,18.3337397
Wodzisławski,Bluszczów,Kamieńska,10,36,18,49.9884878,18.3259073964872
Wodzisławski,Bluszczów,Krzywa,2,8,4,49.99182145,18.3319396008577
Wodzisławski,Bluszczów,Młyńska,5,28,14,49.9875734,18.3291380302101
Wodzisławski,Bluszczów,Nowa,2,14,7,49.9870892,18.3319215
Wodzisławski,Bluszczów,Piaskowa,12,32,16,49.9917825,18.3329775
Wodzisławski,Bluszczów,Podgórze,3,16,8,49.9960364,18.33252375
Wodzisławski,Bluszczów,Powstańców,19,86,43,49.9928289,18.3325899306351
Wodzisławski,Bluszczów,Raciborska,7,8,4,50.0019937,18.3403683
Wodzisławski,Bluszczów,Sosnowa,2,2,1,50.0017705,18.3355993
Wodzisławski,Bluszczów,Środkowa,10,48,24,49.99332825,18.3308180731871
Wodzisławski,Bluszczów,Szkolna,2,12,6,49.99017735,18.328569458478
Wodzisławski,Bluszczów,Wiejska,22,128,64,49.98888585,18.332085130654
Wodzisławski,Czyżowice,Bełsznicka,34,172,86,49.9828804,18.3998997872703
Wodzisławski,Czyżowice,Dworcowa,54,296,148,49.9838204,18.4089359
Wodzisławski,Czyżowice,Gorzycka,26,285,95,49.9840622,18.4048736
Wodzisławski,Czyżowice,Graniczna,11,8,4,49.9794942,18.4237703
Wodzisławski,Czyżowice,Nowa,25,178,89,49.984264,18.4060554354829
Wodzisławski,Czyżowice,Parkowa,19,20,10,49.9744957,18.4236756
Wodzisławski,Czyżowice,Polna,30,204,102,49.9800801,18.4102385
Wodzisławski,Czyżowice,Rogowska,17,126,63,49.9871978,18.3993045235809
Wodzisławski,Czyżowice,Środkowa,29,118,59,49.9844687,18.4119248
Wodzisławski,Czyżowice,Stawiska,1,6,2,49.9837224,18.4198858
Wodzisławski,Czyżowice,Strażacka,19,126,63,49.9800964,18.4148469
Wodzisławski,Czyżowice,Wiejska,34,160,80,49.9842373,18.4187706
Wodzisławski,Czyżowice,Wodzisławska,54,250,125,49.9842897,18.4051351
Wodzisławski,Gorzyce,7 Kwietnia,12,40,20,49.9723035,18.38521215
Wodzisławski,Gorzyce,Akacjowa,14,22,11,49.9617804,18.3945071
Wodzisławski,Gorzyce,B. Prusa,23,48,24,49.9645025,18.4043471
Wodzisławski,Gorzyce,Bogumińska,11,66,33,49.9577743,18.3854806538462
Wodzisławski,Gorzyce,Cicha,8,10,5,49.9594762,18.4027549
Wodzisławski,Gorzyce,Sienkiewicza,1,6,2,49.9645331,18.4116295
