powiat,miejscowosc,ulica,numer,ilosc_koszy,ilosc_posesji
Wodzisławski,Wodzisław Śl.,1 maja,16i,0,0
zawierciański,CHRUSZCZOBRÓD,20 stycznia,14,42,6
zawierciański,CHRUSZCZOBRÓD,3 Maja,11,102,17
zawierciański,CHRUSZCZOBRÓD,9 Maja,7,70,10
zawierciański,CHRUSZCZOBRÓD,Batalionów Chłopskic,2655,60,5
zawierciański,CHRUSZCZOBRÓD,Bema,21,56,7
zawierciański,CHRUSZCZOBRÓD,Boczna,23,133,19
zawierciański,CHRUSZCZOBRÓD,Broniewskiego,2,4,1
zawierciański,CHRUSZCZOBRÓD,Chopina,2,30,5
zawierciański,CHRUSZCZOBRÓD,Ciasna,1,8,1
zawierciański,CHRUSZCZOBRÓD,Dworcowa,13,70,14
zawierciański,CHRUSZCZOBRÓD,Gawronówka,7,136,17
zawierciański,CHRUSZCZOBRÓD,gen. Ziętka,3,6,2
zawierciański,CHRUSZCZOBRÓD,Jagodowa,15,35,5
zawierciański,CHRUSZCZOBRÓD,Jana III Sobieskiego,19,72,12
zawierciański,CHRUSZCZOBRÓD,Kościuszki,4,20,2
zawierciański,CHRUSZCZOBRÓD,Królewska,1,12,1
zawierciański,CHRUSZCZOBRÓD,Krótka,3,5,1
zawierciański,CHRUSZCZOBRÓD,Krzywa,2,15,3
zawierciański,CHRUSZCZOBRÓD,Leśna,4,30,5
zawierciański,CHRUSZCZOBRÓD,Matejki,2,16,2
zawierciański,CHRUSZCZOBRÓD,Mickiewicza,112,966,161
zawierciański,CHRUSZCZOBRÓD,Norwida,27,343,49
zawierciański,CHRUSZCZOBRÓD,Nowa,2,18,3
zawierciański,CHRUSZCZOBRÓD,Ogrodowa,2502,78,13
zawierciański,CHRUSZCZOBRÓD,Orzeszkowej,7,70,7
zawierciański,CHRUSZCZOBRÓD,Piaski,50,390,65
zawierciański,CHRUSZCZOBRÓD,Piastów,1,12,2
zawierciański,CHRUSZCZOBRÓD,Polna,2470,77,11
zawierciański,CHRUSZCZOBRÓD,Powiatowa,36,282,47
zawierciański,CHRUSZCZOBRÓD,Prusa,3,18,3
zawierciański,CHRUSZCZOBRÓD,Reja,5,30,6
zawierciański,CHRUSZCZOBRÓD,Rzeczna,4,18,3
zawierciański,CHRUSZCZOBRÓD,Ściegiennego,2,27,3
zawierciański,CHRUSZCZOBRÓD,Sportowa,8,18,3
zawierciański,CHRUSZCZOBRÓD,Staszica,1,8,1
zawierciański,CHRUSZCZOBRÓD,Stawowa,0,9,1
zawierciański,CHRUSZCZOBRÓD,Szpakowa,9,8,2
zawierciański,CHRUSZCZOBRÓD,Słoneczna,0,3,1
zawierciański,CHRUSZCZOBRÓD,Słowackiego,10,49,7
zawierciański,CHRUSZCZOBRÓD,Tuwima,11,84,14
zawierciański,CHRUSZCZOBRÓD,Wesoła,5,12,2
zawierciański,CHRUSZCZOBRÓD,Wiejska,3,20,5
zawierciański,CHRUSZCZOBRÓD,Wiśniowa,1,20,2
zawierciański,CHRUSZCZOBRÓD,Witosa,5,30,5
zawierciański,CHRUSZCZOBRÓD,Wypoczynkowa,2390,16,2
zawierciański,CHRUSZCZOBRÓD,Zielona,2,4,1
zawierciański,CHRUSZCZOBRÓD,Łazowska,23,16,4
zawierciański,CIĄGOWICE,1 Maja,22,216,36
zawierciański,CIĄGOWICE,Cmentarna,1,8,1
zawierciański,CIĄGOWICE,Górna,325,45,9
zawierciański,CIĄGOWICE,Kopalniana,15,49,7
zawierciański,CIĄGOWICE,Kościuszki,29,180,30
zawierciański,CIĄGOWICE,Leśna,5,20,2
zawierciański,CIĄGOWICE,Nadziei,2,6,1
zawierciański,CIĄGOWICE,Ogrodowa,2,32,4
zawierciański,CIĄGOWICE,Sienkiewicza,8,55,11
zawierciański,CIĄGOWICE,Tuwima,5,18,2
zawierciański,CIĄGOWICE,Wolności,8,60,10
zawierciański,CIĄGOWICE,Zacisze,15,91,13
zawierciański,CIĄGOWICE,Zielona,2,21,3
zawierciański,CIĄGOWICE,Zwycięstwa,43,390,65
zawierciański,GRABOWA,Brzozowa,2,10,1
zawierciański,GRABOWA,Błojec,6,54,9
zawierciański,GRABOWA,Dolna,2,2,2
zawierciański,GRABOWA,Gliniana,9,30,6
zawierciański,GRABOWA,Jurajska,2,8,1
zawierciański,GRABOWA,Kamienna,1,10,2
zawierciański,GRABOWA,Ogrodowa,20,112,16
zawierciański,GRABOWA,Piaski,1578,81,9
zawierciański,GRABOWA,Piwna,11,45,9
zawierciański,GRABOWA,Podgórna,11,35,7
zawierciański,GRABOWA,Podleśna,5,30,5
zawierciański,GRABOWA,Polna,2,4,1
zawierciański,GRABOWA,Skalna,32,204,34
zawierciański,GRABOWA,Sosnowa,4,40,5
zawierciański,GRABOWA,Strażacka,15,65,13
zawierciański,GRABOWA,Szkolna,30,192,32
zawierciański,GRABOWA,Słoneczna,11,52,13
zawierciański,GRABOWA,Topolowa,17,175,25
zawierciański,GRABOWA,Wichrowa,2,10,1
zawierciański,GRABOWA,Wierzbowa,1244,60,12
zawierciański,GRABOWA,Zielona,952,40,8
zawierciański,GRABOWA,Źródlana,2,8,2
zawierciański,HUTKI- KANKI,Centuria,66,40,5
zawierciański,HUTKI- KANKI,Chełmska,7,12,3
zawierciański,HUTKI- KANKI,Hutki-Kanki,66,36,4
zawierciański,HUTKI- KANKI,Jagodowa,7,10,2
zawierciański,HUTKI- KANKI,Jurajska,81,168,21
zawierciański,HUTKI- KANKI,Ogrodowa,2,3,1
zawierciański,HUTKI- KANKI,Poziomkowa,67,30,3
zawierciański,HUTKI- KANKI,Pustynna,5,10,2
zawierciański,HUTKI- KANKI,Sosnowa,70,15,3
zawierciański,KUŹNICA MASŁOŃSKA,Brzozowa,4,15,3
