gmina,rejon,miejscowosc,ulica,ilosc posesji,ilosc koszy
Gorzyce,R1,Belsznica,Czyżowicka,874,1540
Gorzyce,R1,Belsznica,Krótka,179,496
Gorzyce,R1,Belsznica,Leśna,176,278
Gorzyce,R1,Belsznica,Polna,1199,1981
Gorzyce,R1,Belsznica,Poprzeczna,231,359
Gorzyce,R1,Belsznica,Raciborska,2088,3779
Gorzyce,R1,Belsznica,Skotnica,227,408
Gorzyce,R1,Belsznica,Stawowa,863,1509
Gorzyce,R1,Belsznica,Wałowa,988,1693
Gorzyce,R1,Belsznica,Wiejska,257,500
Gorzyce,R1,Bluszczów,Dąbrowy,26,117
Gorzyce,R1,Bluszczów,Dworcowa,655,1144
Gorzyce,R1,Bluszczów,Jana,631,871
Gorzyce,R1,Bluszczów,Kamieńska,436,657
Gorzyce,R1,Bluszczów,Krzywa,97,171
Gorzyce,R1,Bluszczów,Młyńska,297,497
Gorzyce,R1,Bluszczów,Nowa,231,339
Gorzyce,R1,Bluszczów,Piaskowa,473,760
Gorzyce,R1,Bluszczów,Podgórze,185,294
Gorzyce,R1,Bluszczów,Powstańców,1122,1901
Gorzyce,R1,Bluszczów,Raciborska,60,75
Gorzyce,R1,Bluszczów,Sosnowa,30,37
Gorzyce,R1,Bluszczów,Środkowa,500,812
Gorzyce,R1,Bluszczów,Szkolna,165,261
Gorzyce,R1,Bluszczów,Wiejska,1618,2807
Gorzyce,R1,Gorzyce,Raciborska,1,4
Gorzyce,R1,Osiny,Generala Sikorskiego,1102,1739
Gorzyce,R1,Osiny,Kolejowa,665,1127
Gorzyce,R1,Osiny,Osińska,98,147
Gorzyce,R1,Osiny,Poprzeczna,777,1267
Gorzyce,R1,Osiny,Raciborska,1275,2200
Gorzyce,R1,Osiny,Łąkowa,157,291
Gorzyce,R1,Rogów,Raciborska,46,60
Gorzyce,R2,Rogów,Czyżowicka,371,687
Gorzyce,R2,Rogów,Klonowa,102,153
Gorzyce,R2,Rogów,Krzywa,526,801
Gorzyce,R2,Rogów,Leśna,806,1290
Gorzyce,R2,Rogów,Lipowa,553,855
Gorzyce,R2,Rogów,Palarni,264,438
Gorzyce,R2,Rogów,Parkowa,328,508
Gorzyce,R2,Rogów,Polna,1086,1736
Gorzyce,R2,Rogów,Poprzeczna,512,919
Gorzyce,R2,Rogów,Powstańców,92,121
Gorzyce,R2,Rogów,Raciborska,2769,5266
Gorzyce,R2,Rogów,Rogowiec,2677,4837
Gorzyce,R2,Rogów,Sportowa,184,293
Gorzyce,R2,Rogów,Szkolna,26,65
Gorzyce,R2,Rogów,Słoneczna,4,7
Gorzyce,R2,Rogów,Wiejska,602,1049
Gorzyce,R2,Rogów,Wodzisławska,688,1278
Gorzyce,R2,Rogów,Wrzosowa,51,69
Gorzyce,R2,Rogów,Wytrzęsów,1414,2586
Gorzyce,R2,Rogów,Wyzwolenia,4095,7426
Gorzyce,R3,Odra,Główna,1419,2485
Gorzyce,R3,Odra,Krótka,123,236
Gorzyce,R3,Odra,Nowa,194,309
Gorzyce,R3,Odra,Polna,226,327
Gorzyce,R3,Odra,Rogowska,400,811
Gorzyce,R3,Olza,Bogumińska,1741,3107
Gorzyce,R3,Olza,Dworcowa,2459,4366
Gorzyce,R3,Olza,Kolejowa,56,165
Gorzyce,R3,Olza,Kościelna,955,1635
Gorzyce,R3,Olza,Nowa,198,295
Gorzyce,R3,Olza,Polna,267,385
Gorzyce,R3,Olza,Poprzeczna,205,333
Gorzyce,R3,Olza,Stawowa,166,305
Gorzyce,R3,Olza,Szkolna,660,1169
Gorzyce,R3,Olza,Słoneczna,535,849
Gorzyce,R3,Olza,Wałowa,29,67
Gorzyce,R3,Olza,Wiejska,981,1611
Gorzyce,R3,Olza,Wierzbowa,96,159
Gorzyce,R3,Olza,Zwycięstwa,358,531
Gorzyce,R3,Uchylsko,Wiejska,2220,3735
Gorzyce,R4,Gorzyce,Akacjowa,289,462
Gorzyce,R4,Gorzyce,B. Prusa,619,1095
Gorzyce,R4,Gorzyce,Bogumińska,908,1459
Gorzyce,R4,Gorzyce,Cicha,68,94
Gorzyce,R4,Gorzyce,Henryka Sienkiewicza,66,130
Gorzyce,R4,Gorzyce,Jana Pawła II,242,326
Gorzyce,R4,Gorzyce,Jesionowa,155,281
Gorzyce,R4,Gorzyce,Kasztanowa,273,384
Gorzyce,R4,Gorzyce,Klonowa,134,218
Gorzyce,R4,Gorzyce,Kościelna,618,1146
Gorzyce,R4,Gorzyce,Kozielska,580,892
Gorzyce,R4,Gorzyce,Mikolaja Kopernika,493,937
Gorzyce,R4,Gorzyce,Ogrodowa,1004,1776
Gorzyce,R4,Gorzyce,Piaskowa,1278,1977
Gorzyce,R4,Gorzyce,Raciborska,1587,2773
Gorzyce,R4,Gorzyce,Rybnicka,1637,2955
Gorzyce,R4,Gorzyce,Stawowa,630,992
Gorzyce,R4,Gorzyce,Strażacka,149,278
Gorzyce,R4,Gorzyce,Wiejska,1517,2769
Gorzyce,R4,Gorzyce,Wierzbowa,667,1099
Gorzyce,R4,Gorzyce,Wiśniowa,335,586
