powiat,miejscowosc,ulica,numer,ilosc_koszy,ilosc_posesji
Wodzisławski,Wodzisław Śl.,1 maja,16i,0,0
Wodzisławski,Gogołowa,Boczna,12,36,18
Wodzisławski,Gogołowa,Cicha,16,34,17
Wodzisławski,Gogołowa,Jastrzębska,6,26,13
Wodzisławski,Gogołowa,Kręta,5,34,17
Wodzisławski,Gogołowa,Leśna,22,94,47
Wodzisławski,Gogołowa,Morcinka,9,34,17
Wodzisławski,Gogołowa,Okrężna,14,28,14
Wodzisławski,Gogołowa,Śmieji,13,52,26
Wodzisławski,Gogołowa,Słoneczna,15,52,26
Wodzisławski,Gogołowa,Wiejska,59,168,84
Wodzisławski,Mszana,1 Maja,125,360,180
Wodzisławski,Mszana,22 Lipca,15,20,10
Wodzisławski,Mszana,Akacjowa,21,86,43
Wodzisławski,Mszana,Boża Góra,4,12,6
Wodzisławski,Mszana,Brzozowa,6,14,7
Wodzisławski,Mszana,Chabrowa,10,46,23
Wodzisławski,Mszana,Dębowa,5,24,12
Wodzisławski,Mszana,Górnicza,21,26,13
Wodzisławski,Mszana,Konopnickiej,22,60,30
Wodzisławski,Mszana,Kopernika,32,114,57
Wodzisławski,Mszana,Krótka,16,86,43
Wodzisławski,Mszana,Ks. Styry,11,56,28
Wodzisławski,Mszana,Ks. Tuskera,9,28,14
Wodzisławski,Mszana,Kwiatowa,6,32,16
Wodzisławski,Mszana,Mickiewicza,103,358,179
Wodzisławski,Mszana,Moszczeńska,18,34,17
Wodzisławski,Mszana,Nowa,5,16,8
Wodzisławski,Mszana,Polna,6,40,20
Wodzisławski,Mszana,Skrzyszowska,26,74,37
Wodzisławski,Mszana,Sosnowa,3,20,10
Wodzisławski,Mszana,Spacerowa,8,26,13
Wodzisławski,Mszana,Sportowa,7,20,10
Wodzisławski,Mszana,Szymborskiej,10,10,5
Wodzisławski,Mszana,Turska,14,48,24
Wodzisławski,Mszana,Wesoła,30,84,42
Wodzisławski,Mszana,Wiśniowa,2,8,4
Wodzisławski,Mszana,Wodzisławska,82,236,118
Wodzisławski,Mszana,Zielona,7,40,20
Wodzisławski,Mszana,Ładna,5,34,17
Wodzisławski,Połomia,Centralna,149,542,271
Wodzisławski,Połomia,Dworska,11,40,20
Wodzisławski,Połomia,Folwark,25,112,56
Wodzisławski,Połomia,Granice,8,64,32
Wodzisławski,Połomia,Ks. Pisulli,8,20,10
Wodzisławski,Połomia,Podgórna,11,30,15
Wodzisławski,Połomia,Przyległa,14,62,31
Wodzisławski,Połomia,Szkolna,32,144,72
Wodzisławski,Połomia,Szybowa,15,44,22
Wodzisławski,Połomia,Wolności,54,208,104
