nr,gmina,rejon,miejscowosc,ulica,ilosc posesji,ilosc koszy,longitude,latitude
0,Gorzyce,R1,Belsznica,Czyżowicka,874,1540,18.3857256,49.9823416
1,Gorzyce,R1,Belsznica,Krótka,179,496,18.3688544,49.974283
2,Gorzyce,R1,Belsznica,Leśna,176,278,18.3621431,49.9902814
3,Gorzyce,R1,Belsznica,Polna,1199,1981,18.3733112,49.9747924
4,Gorzyce,R1,Belsznica,Poprzeczna,231,359,18.3558302,49.9795955
5,Gorzyce,R1,Belsznica,Raciborska,2088,3779,18.3681799,49.9747882
6,Gorzyce,R1,Belsznica,Skotnica,227,408,18.357219,49.9816344
7,Gorzyce,R1,Belsznica,Stawowa,863,1509,18.3433007,49.9713561
8,Gorzyce,R1,Belsznica,Wałowa,988,1693,18.3596438,49.9773378
9,Gorzyce,R1,Belsznica,Wiejska,257,500,18.3563864,49.9809989
10,Gorzyce,R1,Bluszczów,Dąbrowy,26,117,18.3456627,50.0081438
11,Gorzyce,R1,Bluszczów,Dworcowa,655,1144,18.3272773,49.9911233
12,Gorzyce,R1,Bluszczów,Jana,631,871,18.3337397,49.9903928
13,Gorzyce,R1,Bluszczów,Kamieńska,436,657,18.3245011,49.9915759
14,Gorzyce,R1,Bluszczów,Krzywa,97,171,18.332013,49.9923475
15,Gorzyce,R1,Bluszczów,Młyńska,297,497,18.3287126,49.9878026
16,Gorzyce,R1,Bluszczów,Nowa,231,339,18.332581,49.988946
17,Gorzyce,R1,Bluszczów,Piaskowa,473,760,18.3329775,49.9917825
18,Gorzyce,R1,Bluszczów,Podgórze,185,294,18.3323075,49.9961948
19,Gorzyce,R1,Bluszczów,Powstańców,1122,1901,18.3321802,49.993024
20,Gorzyce,R1,Bluszczów,Raciborska,60,75,18.3460247,49.9936953
21,Gorzyce,R1,Bluszczów,Sosnowa,30,37,18.3355993,50.0017705
22,Gorzyce,R1,Bluszczów,Środkowa,500,812,18.3302519,49.9918999
23,Gorzyce,R1,Bluszczów,Szkolna,165,261,18.3287878,49.9895353
24,Gorzyce,R1,Bluszczów,Wiejska,1618,2807,18.332581,49.988946
25,Gorzyce,R1,Gorzyce,Raciborska,1,4,18.3954466,49.959432
26,Gorzyce,R1,Osiny,Generala Sikorskiego,1102,1739,18.3815089,49.9731811
27,Gorzyce,R1,Osiny,Kolejowa,665,1127,18.3812932,49.9715526
28,Gorzyce,R1,Osiny,Osińska,98,147,18.6734952,50.0111905
29,Gorzyce,R1,Osiny,Poprzeczna,777,1267,18.3815951,49.9668232
30,Gorzyce,R1,Osiny,Raciborska,1275,2200,18.3770778,49.9693869
31,Gorzyce,R1,Osiny,Łąkowa,157,291,18.372521,49.970088
32,Gorzyce,R1,Rogów,Raciborska,46,60,18.3521756,49.9888645
33,Gorzyce,R2,Rogów,Czyżowicka,371,687,18.3529647,49.9908269
34,Gorzyce,R2,Rogów,Klonowa,102,153,18.3653922,49.993466
35,Gorzyce,R2,Rogów,Krzywa,526,801,18.3503634,49.9927215
36,Gorzyce,R2,Rogów,Leśna,806,1290,18.3532571,49.9888679
37,Gorzyce,R2,Rogów,Lipowa,553,855,18.3562582,49.9857724
38,Gorzyce,R2,Rogów,Palarni,264,438,18.3479928,49.9890952
39,Gorzyce,R2,Rogów,Parkowa,328,508,18.3503561,49.9853723
40,Gorzyce,R2,Rogów,Polna,1086,1736,18.3459905,50.0005113
41,Gorzyce,R2,Rogów,Poprzeczna,512,919,18.3558302,49.9795955
42,Gorzyce,R2,Rogów,Powstańców,92,121,18.3525267,49.9915957
43,Gorzyce,R2,Rogów,Raciborska,2769,5266,18.3521756,49.9888645
44,Gorzyce,R2,Rogów,Rogowiec,2677,4837,18.3400506,49.988372
45,Gorzyce,R2,Rogów,Sportowa,184,293,18.3468796,49.9904137
46,Gorzyce,R2,Rogów,Szkolna,26,65,18.0770941,50.109427
47,Gorzyce,R2,Rogów,Słoneczna,4,7,18.3685615,50.0025291
48,Gorzyce,R2,Rogów,Wiejska,602,1049,18.3544304,49.9881574
49,Gorzyce,R2,Rogów,Wodzisławska,688,1278,18.3651186,49.9934392
50,Gorzyce,R2,Rogów,Wrzosowa,51,69,18.3676329,49.9923843
51,Gorzyce,R2,Rogów,Wytrzęsów,1414,2586,18.3486111,49.9933333
52,Gorzyce,R2,Rogów,Wyzwolenia,4095,7426,18.3582338,49.9969979
53,Gorzyce,R3,Odra,Główna,1419,2485,18.3194225,49.9704846
54,Gorzyce,R3,Odra,Krótka,123,236,18.324739,49.9707439
55,Gorzyce,R3,Odra,Nowa,194,309,18.3341422,49.9708361
56,Gorzyce,R3,Odra,Polna,226,327,18.3191051,49.9760419
57,Gorzyce,R3,Odra,Rogowska,400,811,18.3263075,49.9720914
58,Gorzyce,R3,Olza,Bogumińska,1741,3107,18.3605402,49.9559574
